Data_type,Sensitivity,Department,Purpose,Emergency,Access_policy
Administrative Data,Confidential,General Medicine,Training,Yes,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the General Medicine department with clearance level 2.
Medical Records,Confidential,General Medicine,Research,Yes,This data can be accessed by users having roles: Admin and belonging to the General Medicine department with clearance level 1.
Lab Results,Restricted,Cardiology,Billing,Yes,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Cardiology department with clearance level 2.
Imaging Data,Confidential,Neurology,Billing,Yes,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Neurology department with clearance level 3.
Prescriptions,Public,Cardiology,Billing,No,This data can be accessed by users having roles: Researcher and belonging to the Cardiology department with clearance level 2.
Medical Records,Highly Confidential,Neurology,Training,No,This data can be accessed by users having roles: (Researcher or Admin) and belonging to the Neurology department with clearance level 2.
Medical Records,Highly Confidential,General Medicine,Treatment,No,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the General Medicine department with clearance level 2.
Medical Records,Highly Confidential,General Medicine,Treatment,No,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the General Medicine department with clearance level 1.
Research Data,Highly Confidential,Neurology,Training,No,This data can be accessed by users having roles: (Researcher or Nurse) and belonging to the Neurology department with clearance level 1.
Lab Results,Restricted,Radiology,Billing,No,This data can be accessed by users having roles: Doctor and belonging to the Radiology department with clearance level 3.
Administrative Data,Restricted,Radiology,Research,No,This data can be accessed by users having roles: Admin and belonging to the Radiology department with clearance level 1.
Administrative Data,Highly Confidential,General Medicine,Research,Yes,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the General Medicine department with clearance level 1.
Imaging Data,Highly Confidential,Neurology,Research,Yes,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Neurology department with clearance level 3.
Medical Records,Restricted,Cardiology,Training,Yes,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the Cardiology department with clearance level 2.
Lab Results,Public,Oncology,Treatment,No,This data can be accessed by users having roles: (Admin or Nurse) and belonging to the Oncology department with clearance level 1.
Administrative Data,Highly Confidential,General Medicine,Research,No,This data can be accessed by users having roles: Nurse and belonging to the General Medicine department with clearance level 3.
Medical Records,Public,Oncology,Research,Yes,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the Oncology department with clearance level 1.
Medical Records,Confidential,Radiology,Research,Yes,This data can be accessed by users having roles: (Researcher or Admin) and belonging to the Radiology department with clearance level 3.
Administrative Data,Highly Confidential,General Medicine,Research,Yes,This data can be accessed by users having roles: (Nurse or Doctor) and belonging to the General Medicine department with clearance level 2.
Research Data,Restricted,Radiology,Training,Yes,This data can be accessed by users having roles: (Admin or Doctor) and belonging to the Radiology department with clearance level 2.
Medical Records,Confidential,Radiology,Billing,No,This data can be accessed by users having roles: Doctor and belonging to the Radiology department with clearance level 3.
Imaging Data,Public,Radiology,Training,Yes,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the Radiology department with clearance level 3.
Prescriptions,Restricted,Cardiology,Billing,No,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the Cardiology department with clearance level 3.
Research Data,Restricted,General Medicine,Research,No,This data can be accessed by users having roles: Doctor and belonging to the General Medicine department with clearance level 1.
Administrative Data,Confidential,Cardiology,Training,Yes,This data can be accessed by users having roles: Doctor and belonging to the Cardiology department with clearance level 1.
Lab Results,Public,Oncology,Research,No,This data can be accessed by users having roles: (Nurse or Researcher) and belonging to the Oncology department with clearance level 2.
Administrative Data,Restricted,Cardiology,Billing,Yes,This data can be accessed by users having roles: Nurse and belonging to the Cardiology department with clearance level 3.
Prescriptions,Restricted,Cardiology,Research,Yes,This data can be accessed by users having roles: Doctor and belonging to the Cardiology department with clearance level 2.
Imaging Data,Highly Confidential,Cardiology,Treatment,No,This data can be accessed by users having roles: Doctor and belonging to the Cardiology department with clearance level 3.
Lab Results,Highly Confidential,Oncology,Billing,Yes,This data can be accessed by users having roles: (Researcher or Doctor) and belonging to the Oncology department with clearance level 3.
Prescriptions,Restricted,Neurology,Treatment,No,This data can be accessed by users having roles: (Admin or Researcher) and belonging to the Neurology department with clearance level 1.
Imaging Data,Public,Cardiology,Treatment,No,This data can be accessed by users having roles: (Doctor or Admin) and belonging to the Cardiology department with clearance level 1.
Administrative Data,Restricted,Cardiology,Training,No,This data can be accessed by users having roles: (Nurse or Admin) and belonging to the Cardiology department with clearance level 2.
